id,term,instructors
3662,20W,"[""Bakhos, C.A.""]"
2688994,20W,"[""Dunkel Schetter, C""]"
3589,20W,"[""Guzman, J.A.""]"
2243,20W,"[""Clare, R."",""Taylor, D.A.""]"
958,20W,"[""Greenfeld, R.""]"
1195,20W,"[""Tobiason, G.A.""]"
792,20W,"[""Agnew, J.A.""]"
97,20W,"[""Steen, F.F.""]"
3272,20W,"[""Flanagan Lysy, M.M""]"
5353,20W,"[""Montoya, A.K.""]"
1998,20W,"[""Merlic, C.A.""]"
4978,20W,"[""Huang, G.J.""]"
112,20W,"[""Goodall, G.S.""]"
5088,20W,"[""Tamanoi, F.""]"
1879,20W,"[""Desveaux, J.A.""]"
4577,20W,"[""Chorpita, B.F.""]"
1248,20W,"[""Dean, J.H.""]"
2257572,20W,"[""Barber, P.H.""]"
5082,20W,"[""Loo, J.A.""]"
1991,20W,"[""No instructors""]"
2006,20W,"[""Vandenberghe, L.""]"
3927,20W,"[""Shoup, D.C."",""Pinski, M.J.""]"
4830,20W,"[""Syer, K.R.""]"
2394,20W,"[""Milburn, D.S.""]"
1652,20W,"[""Schein, S.""]"
2301,20W,"[""Stein, S.A.""]"
1922,20W,"[""Kim, J.""]"
3260,20W,"[""Taub, B.""]"
546,20W,"[""Srivastava, S."",""Gao, S.""]"
2297747,20W,"[""Seidlits, S.K.""]"
2257493,20W,"[""Ross, M.L.""]"
666,20W,"[""Kraft, N.J.""]"
3316,20W,"[""Hodgetts, C.E.""]"
4938,20W,"[""Xing, Y.""]"
1036,20W,"[""Prunet, N.E.""]"
2018,20W,"[""Campbell-Staton, S""]"
450,20W,"[""Monkkonen, P.""]"
4740,20W,"[""Cohen, G.D.""]"
5412,20W,"[""Wang, K.L.""]"
2709,20W,"[""Weir, M.A.""]"
812,20W,"[""Wickman, P.A."",""Acosta, S.""]"
4673,20W,"[""Campbell, D.A.""]"
2158,20W,"[""Ardehali, R.""]"
2121,20W,"[""Halperin, E.""]"
3063,20W,"[""Yamazaki, J.""]"
4948,20W,"[""Davis, J.D.""]"
2706423,20W,"[""Novitch, B.G.""]"
2795135,20W,"[""Fanselow, M.S.""]"
2347,20W,"[""Halabi, J."",""Eggert, P.R.""]"
1627,20W,"[""Zhao, Q."",""Eggert, P.R.""]"
27,20W,"[""No instructors""]"
4537,20W,"[""Bardacke, T.M.""]"
3995608,20W,"[""Acabado, S.B.""]"
2513,20W,"[""Garrison, N.J."",""Tripati, A.K."",""Kareiva, P.M.""]"
892,20W,"[""Paull, M.""]"
2647600,20W,"[""Poe, G.R.""]"
884,20W,"[""Lew, K.M."",""Mchugh, K.A.""]"
1262,20W,"[""Oak, S.""]"
3244,20W,"[""Jewitt, D.C.""]"
105,20W,"[""Tausanovitch, C.N."",""Card, K.H."",""Adler, P.J.""]"
2380,20W,"[""Underwood, B.E.""]"
660,20W,"[""Ritz, B.R.""]"
738,20W,"[""Menjo, S.""]"
4964,20W,"[""Masuoka, N.R.""]"
4592,20W,"[""Noguera, P.A.""]"
379,20W,"[""Nelson, H.M.""]"
3926,20W,"[""Meka, R.""]"
5881135,20S,"[""Bendersky, C.B.""]"
5880796,20S,"[""Bender, C.T."",""Ortiz, V.""]"
10581005,20S,"[""Maack, M.N.""]"
5883223,20S,"[""Rostamian, F.D.""]"
5885164,20S,"[""Eggert, P.R.""]"
5881320,20S,"[""Mceachin, S.C."",""Friscia, A.R.""]"
5884133,20S,"[""Braunmuller, A.R.""]"
5880556,20S,"[""Simpson, M.E.""]"
5886544,20S,"[""Bern, Z.""]"
5884193,20S,"[""Shiffrin, S.""]"
5878727,20S,"[""Morcom, A.F.""]"
5886688,20S,"[""Palsberg, J.""]"
5885296,20S,"[""Favila, C.D.""]"
5883687,20S,"[""Zepeda, N."",""Blackwell, M.S.""]"
5878781,20S,"[""Schlichting, H.E.""]"
5880315,20S,"[""Haselton, M.G."",""Karakus, K.E.""]"
5885375,20S,"[""Goodall, G.S.""]"
5883491,20S,"[""Li, X.""]"
5883980,20S,"[""Alderton, D.J.""]"
5883537,20S,"[""Craven, P.J."",""Decker, J.L.""]"
5881244,20S,"[""Olivieri, J.M.""]"
5885254,20S,"[""Wong, J."",""Blair, H.T."",""Ringach, D.L.""]"
5884479,20S,"[""Suffet, I.H.""]"
5886726,20S,"[""Rojas, R.""]"
5883802,20S,"[""Perlman, D.H."",""TA""]"
5885172,20S,"[""Karvonides, C.""]"
5881398,20S,"[""Rigby, D.L.""]"
5887964,20S,"[""Bang, S.H.""]"
5880002,20S,"[""Gomez, F.""]"
5883633,20S,"[""Ping, P.""]"
5883522,20S,"[""Christou, N.""]"
5886802,20S,"[""Santos Trinidad, C""]"
