section_id,enrollment_count,created_at
5865655,8,2019-10-03T17:00:21.528598+00:00
5866396,20,2019-10-03T17:00:23.735626+00:00
5859133,15,2019-10-03T17:00:25.225142+00:00
5866917,106,2019-10-03T17:00:27.894475+00:00
5860817,90,2019-10-03T17:00:29.632375+00:00
5867705,24,2019-10-03T17:00:30.876378+00:00
5858246,31,2019-10-03T17:00:33.06313+00:00
5858281,40,2019-10-03T17:00:33.82188+00:00
5864057,189,2019-10-03T17:00:33.958403+00:00
5860169,27,2019-10-03T17:00:48.146278+00:00
5863492,207,2019-10-03T17:00:54.636966+00:00
5858207,208,2019-10-03T17:00:56.594852+00:00
5858276,145,2019-10-03T17:00:56.595907+00:00
5862797,9,2019-10-03T17:01:02.980921+00:00
5862579,6,2019-10-03T17:01:05.284533+00:00
5863614,16,2019-10-03T17:01:06.774104+00:00
5866253,12,2019-10-03T17:01:07.894369+00:00
5858518,409,2019-10-03T17:01:09.056876+00:00
5863628,244,2019-10-03T17:01:12.434852+00:00
5861153,67,2019-10-03T17:01:12.75485+00:00
5866042,15,2019-10-03T17:01:13.931649+00:00
5861654,13,2019-10-03T17:01:34.580665+00:00
5859152,8,2019-10-03T17:01:35.025387+00:00
5868409,123,2019-10-03T17:01:35.0285+00:00
5868441,160,2019-10-03T17:01:35.176573+00:00
5859393,3,2019-10-03T17:01:35.977847+00:00
5859966,159,2019-10-03T17:01:41.4344+00:00
5860023,132,2019-10-03T17:01:48.457132+00:00
5864599,39,2019-10-03T17:01:50.78816+00:00
5867387,36,2019-10-03T17:01:51.082421+00:00
5864151,19,2019-10-03T17:01:51.90687+00:00
5867361,0,2019-10-03T17:01:52.602667+00:00
5864755,0,2019-10-03T17:01:53.660596+00:00
5858584,37,2019-10-03T17:01:56.695614+00:00
5866076,335,2019-10-03T17:01:56.700015+00:00
5865126,0,2019-10-03T17:01:58.3157+00:00
5860191,8,2019-10-03T17:01:58.677446+00:00
5866863,28,2019-10-03T17:01:59.736262+00:00
5866540,224,2019-10-03T17:02:00.638211+00:00
5859490,119,2019-10-03T17:02:01.195213+00:00
5866468,275,2019-10-03T17:02:01.464047+00:00
5866897,0,2019-10-03T17:02:01.526593+00:00
5865062,58,2019-10-03T17:02:09.498853+00:00
5866462,149,2019-10-03T17:02:12.759689+00:00
5866536,29,2019-10-03T17:02:19.620585+00:00
5866083,26,2019-10-03T17:02:23.360687+00:00
5863905,0,2019-10-03T17:02:25.214422+00:00
5868257,48,2019-10-03T17:02:25.289992+00:00
5866610,22,2019-10-03T17:02:25.556305+00:00
5868267,22,2019-10-03T18:00:24.575686+00:00
5858272,22,2019-10-03T18:00:25.416855+00:00
5864699,24,2019-10-03T18:00:28.185297+00:00
5859087,16,2019-10-03T18:00:28.406555+00:00
5858369,23,2019-10-03T18:00:28.571885+00:00
5858352,222,2019-10-03T18:00:41.649386+00:00
5867601,12,2019-10-03T18:00:41.841502+00:00
5867404,93,2019-10-03T18:00:41.844333+00:00
5865378,24,2019-10-03T18:00:42.709395+00:00
5864422,48,2019-10-03T18:00:43.183594+00:00
5860611,8,2019-10-03T18:00:43.186851+00:00
5858354,44,2019-10-03T18:00:45.366819+00:00
5867584,245,2019-10-03T18:00:45.85197+00:00
5865063,144,2019-10-03T18:00:45.983084+00:00
5862068,39,2019-10-03T18:00:46.733467+00:00
